query_id,query_text,method,rank,image_id,score,caption_snippet
q_ff_1,handover failure call flow,hybrid,1,image_3394.jpeg,12.233045468180865,UTRAN Iu mode to E-UTRAN Inter RAT HO reject
q_ff_1,handover failure call flow,hybrid,2,image_3400.jpeg,11.927487489868703,GERAN A/Gb mode to E-UTRAN inter RAT HO reject
q_ff_1,handover failure call flow,hybrid,3,image_2109.jpeg,11.898434779422754,LTE VoIP-to-1x CS voice service continuity
q_ff_1,handover failure call flow,hybrid,4,image_3388.jpeg,11.63754055693034,"S1-based handover, Reject"
q_ff_1,handover failure call flow,hybrid,5,image_3391.jpeg,11.437516065510009,E-UTRAN to UTRAN Iu mode Inter RAT HO reject
q_ff_1,handover failure call flow,hybrid,6,image_3397.jpeg,10.956161116549612,E-UTRAN to GERAN A/Gb Inter RAT HO reject
q_ff_1,handover failure call flow,hybrid,7,image_2286.png,10.903386882950278,EAS for Stateful Applications
q_ff_1,handover failure call flow,hybrid,8,image_2116.jpeg,10.802268682501445,5G-SRVCC from NG-RAN to 3GPP UTRAN call flow
q_ff_1,handover failure call flow,hybrid,9,image_1965.jpeg,10.325177111630895,E-UTRAN to HRPD handover
q_ff_1,handover failure call flow,hybrid,10,image_1377.jpeg,9.697966458807873,Mobility to HeNB's CSG and hybrid cells.
q_ff_2,RRC connection establishment,hybrid,1,image_3599.jpeg,13.469838907732399,Procedure for Remote UE connection establishment
q_ff_2,RRC connection establishment,hybrid,2,image_1391.jpeg,12.419795602680743,Retrieve UE Context procedure (highlighted in blue) for cases of UE context
q_ff_2,RRC connection establishment,hybrid,3,image_4.jpeg,12.056625076174592,UE Registration to open access HNBs.
q_ff_2,RRC connection establishment,hybrid,4,image_3440.jpeg,11.673715883235827,Re-establishment procedure
q_ff_2,RRC connection establishment,hybrid,5,image_3560.jpeg,11.643752307579199,RRC Connection Reestablishment and network sharing with multiple cell-ID
q_ff_2,RRC connection establishment,hybrid,6,image_2.png,11.270017087670988,UE Registration for non CSG UEs or non CSG HNBs.
q_ff_2,RRC connection establishment,hybrid,7,image_3.jpeg,11.266508915391121,UE Registration for CSG UEs and CSG or Hybrid HNBs.
q_ff_2,RRC connection establishment,hybrid,8,image_2739.png,10.893546958058764,Connection Establishment for 5G ProSe Layer-2 UE-to-Network Relay
q_ff_2,RRC connection establishment,hybrid,9,image_3600.png,9.863222295269448,basic connection setup procedure of L3 UE-to-Network Relay based on Figure 6.6.2-1
q_ff_2,RRC connection establishment,hybrid,10,image_583.jpeg,9.83608371029626,Support of Activity Notification in EN-DC with suspended RRC connection - SCG
q_ff_3,NAS authentication,hybrid,1,image_457.jpeg,10.208875184449628,AMF re-allocation with NAS message and 5G NAS security context re-route via RAN
q_ff_3,NAS authentication,hybrid,2,image_1998.png,10.173278925512964,5G-RG Registration via W-5GAN
q_ff_3,NAS authentication,hybrid,3,image_431.jpeg,10.006554121367216,Authentication for untrusted non-3GPP access
q_ff_3,NAS authentication,hybrid,4,image_1136.jpeg,9.915461228670493,Network slice specific authentication and Authorization procedure (RADIUS)
q_ff_3,NAS authentication,hybrid,5,image_1137.jpeg,9.9112460483023,Network slice specific authentication and Authorization procedure (Diameter)
q_ff_3,NAS authentication,hybrid,6,image_135.png,9.819642222873311,Anti-authentication relay attack procedure
q_ff_3,NAS authentication,hybrid,7,image_446.png,9.788651785697706,AMF re-allocation with NAS message and 5G NAS security context re-route via RAN
q_ff_3,NAS authentication,hybrid,8,image_450.jpeg,9.524678719266065,AMF Serving Capability based Security handling during primary authentication
q_ff_3,NAS authentication,hybrid,9,image_453.jpeg,9.516195542340093,Security context handling during registration mobility update
q_ff_3,NAS authentication,hybrid,10,image_452.jpeg,9.514728736103821,AMF Serving Capability based Security Context handling during primary
q_ff_4,5G architecture,hybrid,1,image_2030.jpeg,9.728945406778415,Non- roaming architecture for 5G Core Network for 5G-RG with Wireline 5G Access
q_ff_4,5G architecture,hybrid,2,image_2031.jpeg,9.708300843861524,Non- roaming architecture for 5G Core Network for FN-RG with Wireline 5G Access
q_ff_4,5G architecture,hybrid,3,image_716.png,9.470317317658907,5G Media Streaming General Architecture
q_ff_4,5G architecture,hybrid,4,image_715.png,9.454912921331303,5G Media Streaming within the 5G System
q_ff_4,5G architecture,hybrid,5,image_2733.jpeg,9.404446432560711,Reference architecture for 5G ProSe Layer-3 UE-to-Network Relay
q_ff_4,5G architecture,hybrid,6,image_2026.jpeg,9.403785976178995,Home-routed Roaming architecture for 5G Core Network with untrusted non-3GPP
q_ff_4,5G architecture,hybrid,7,image_2027.jpeg,9.403785976178995,Home-routed Roaming architecture for 5G Core Network with untrusted non-3GPP
q_ff_4,5G architecture,hybrid,8,image_2028.jpeg,9.403785976178995,Home-routed Roaming architecture for 5G Core Network with untrusted non-3GPP
q_ff_4,5G architecture,hybrid,9,image_2029.jpeg,9.403785976178995,Home-routed Roaming architecture for 5G Core Network with trusted non-3GPP
q_ff_4,5G architecture,hybrid,10,image_2734.jpeg,9.397876968359231,Roaming architecture model for 5G ProSe Layer-3 UE-to-Network Relay with N3IWF
q_ff_5,bearer activation,hybrid,1,image_2499.jpeg,10.14483395445458,Secondary PDP context Activation or PDP Context Modification Procedure for EPS-
q_ff_5,bearer activation,hybrid,2,image_3377.jpeg,9.776870635676477,Dedicated Bearer Activation Procedure
q_ff_5,bearer activation,hybrid,3,image_1981.jpeg,9.737767848641093,Dedicated S2a Bearer Activation Procedure with GTP on S2a
q_ff_5,bearer activation,hybrid,4,image_3179.png,9.71163114123641,Interaction between CP and UP function during modification of bearer
q_ff_5,bearer activation,hybrid,5,image_1944.jpeg,9.67646149992677,Dedicated S2b Bearer Activation Procedure with GTP on S2b
q_ff_5,bearer activation,hybrid,6,image_2918.png,9.521914618462272,Use of pre-established MBMS bearers
q_ff_5,bearer activation,hybrid,7,image_3197.png,9.112479189596588,"Interaction between CP and UP function with PDN connection modification, Group"
q_ff_5,bearer activation,hybrid,8,image_3196.png,9.112479189596588,"Interaction between CP and UP function with PDN connection modification, Group"
q_ff_5,bearer activation,hybrid,9,image_3195.png,9.112479189596588,"Interaction between CP and UP function with PDN connection modification, Group"
q_ff_5,bearer activation,hybrid,10,image_2930.jpeg,9.095138544162497,MBMS bearer event notification
q_ff_6,UE context release,hybrid,1,image_3553.png,11.77563941120215,Bearer context release over F1-U – gNB-CU-CP initiated
q_ff_6,UE context release,hybrid,2,image_3554.png,11.752364809184137,Bearer context release over F1-U – gNB-CU-UP initiated
q_ff_6,UE context release,hybrid,3,image_3372.jpeg,11.523345040728188,S1 Release Procedure
q_ff_6,UE context release,hybrid,4,image_3438.jpeg,11.455744668748824,"Resume request responded with Release with Redirect, with UE Context relocation"
q_ff_6,UE context release,hybrid,5,image_1374.jpeg,11.345343883868125,Inter-MeNB handover without SeNB change
q_ff_6,UE context release,hybrid,6,image_1369.jpeg,11.335768073093027,SeNB Release procedure – MeNB initiated
q_ff_6,UE context release,hybrid,7,image_1370.jpeg,11.335768073093027,SeNB Release procedure – MeNB initiated
q_ff_6,UE context release,hybrid,8,image_2119.jpeg,11.330603880780856,local Release triggered via NAS
q_ff_6,UE context release,hybrid,9,image_2125.jpeg,11.210911803022652,RRC leaving procedure in EPS
